"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
0,"","","","10,82","99,7340","10,67",0,"HUF",0,"2022.08.24","D230823","2023.08.23","9 nap",9,"D230823","D230823","DKJ","2023.08.14"
0,"","","","10,82","99,5280","10,67",0,"HUF",0,"2023.05.31","D230830","2023.08.30","16 nap",16,"D230830","D230830","DKJ","2023.08.14"
0,"","","","10,82","99,3229","10,67",0,"HUF",0,"2023.06.07","D230906","2023.09.06","23 nap",23,"D230906","D230906","DKJ","2023.08.14"
0,"","","","10,82","99,1187","10,67",0,"HUF",0,"2023.06.14","D230913","2023.09.13","30 nap",30,"D230913","D230913","DKJ","2023.08.14"
0,"9,54","99,0421","9,41","10,82","98,9153","10,67",0,"HUF",0,"2023.02.15","D230920","2023.09.20","37 nap",37,"D230920","D230920","DKJ","2023.08.14"
0,"9,54","98,8630","9,41","10,82","98,7127","10,67",0,"HUF",0,"2023.06.28","D230927","2023.09.27","44 nap",44,"D230927","D230927","DKJ","2023.08.14"
0,"9,54","98,6845","9,41","10,82","98,5109","10,67",0,"HUF",0,"2023.07.05","D231004","2023.10.04","51 nap",51,"D231004","D231004","DKJ","2023.08.14"
0,"9,54","98,5066","9,41","10,82","98,3100","10,67",0,"HUF",0,"2023.07.12","D231011","2023.10.11","58 nap",58,"D231011","D231011","DKJ","2023.08.14"
0,"9,54","98,3294","9,41","10,82","98,1099","10,67",0,"HUF",0,"2022.10.19","D231018","2023.10.18","65 nap",65,"D231018","D231018","DKJ","2023.08.14"
0,"9,54","98,1528","9,41","10,82","97,9106","10,67",0,"HUF",0,"2023.07.26","D231025","2023.10.25","72 nap",72,"D231025","D231025","DKJ","2023.08.14"
0,"9,54","98,0019","9,41","10,82","97,7404","10,67",0,"HUF",0,"2023.08.02","D231031","2023.10.31","78 nap",78,"D231031","D231031","DKJ","2023.08.14"
0,"9,54","97,8015","9,41","10,82","97,5144","10,67",0,"HUF",0,"2023.08.09","D231108","2023.11.08","86 nap",86,"D231108","D231108","DKJ","2023.08.14"
0,"9,59","97,2652","9,46","10,36","97,0519","10,22",0,"HUF",0,"2023.04.19","D231129","2023.11.29","107 nap",107,"D231129","D231129","DKJ","2023.08.14"
0,"9,58","96,5775","9,45","10,31","96,3264","10,17",0,"HUF",0,"2022.12.28","D231227","2023.12.27","135 nap",135,"D231227","D231227","DKJ","2023.08.14"
0,"9,59","95,8927","9,46","10,33","95,5897","10,19",0,"HUF",0,"2023.06.21","D240124","2024.01.24","163 nap",163,"D240124","D240124","DKJ","2023.08.14"
0,"9,51","95,2593","9,38","10,29","94,8900","10,15",0,"HUF",0,"2023.03.08","D240221","2024.02.21","191 nap",191,"D240221","D240221","DKJ","2023.08.14"
0,"9,69","93,5415","9,56","10,34","93,1388","10,20",0,"HUF",0,"2023.05.03","D240430","2024.04.30","260 nap",260,"D240430","D240430","DKJ","2023.08.14"
0,"9,96","92,0412","9,82","10,65","91,5367","10,50",0,"HUF",0,"2023.06.28","D240626","2024.06.26","317 nap",317,"D240626","D240626","DKJ","2023.08.14"
